,,
field,name,key
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1960,Year,
33883,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1961,Year,
32831,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1962,Year,
31649,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1963,Year,
30416,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1964,Year,
29147,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1965,Year,
27889,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1966,Year,
26663,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1967,Year,
25503,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1968,Year,
24592,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1969,Year,
23735,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1970,Year,
22974,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1971,Year,
22313,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1972,Year,
21766,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1973,Year,
21492,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1974,Year,
21382,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1975,Year,
21393,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1976,Year,
21485,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1977,Year,
21739,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1978,Year,
21.92,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1979,Year,
21993,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1980,Year,
21931,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1981,Year,
21.73,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1982,Year,
21476,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1983,Year,
21385,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1984,Year,
21183,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1985,Year,
20919,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1986,Year,
20617,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1987,Year,
20269,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1988,Year,
19821,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1989,Year,
19184,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1990,Year,
18662,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1991,Year,
17722,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1992,Year,
16443,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1993,Year,
16126,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1994,Year,
15431,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1995,Year,
15991,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1996,Year,
16153,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1997,Year,
16388,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1998,Year,
15078,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
1999,Year,
14361,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2000,Year,
14427,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2001,Year,
13739,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2002,Year,
12992,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2003,Year,
12621,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2004,Year,
11921,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2005,Year,
12348,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2006,Year,
13055,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2007,Year,
12962,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2008,Year,
12748,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2009,Year,
12.35,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2010,Year,
12193,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2011,Year,
12246,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2012,Year,
12723,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2013,Year,
13316,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2014,Year,
13533,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2015,Year,
12428,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2016,Year,
12.3,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2017,Year,
11.53,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2018,Year,
9881,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2019,Year,
9138,Value,
Aruba,Country or Area,ABW
"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",Item,SP.DYN.CBRT.IN
2020,Year,
8102,Value,
Aruba,Country or Area,ABW
